size:  100 | nOfPuts: 9
size: 56900 | nOfPuts: 17
size: 57000 | nOfPuts: 17
size: 57100 | nOfPuts: 18
size: 57200 | nOfPuts: 17
size: 57300 | nOfPuts: 16
size: 57400 | nOfPuts: 18
size: 57500 | nOfPuts: 17
size: 57600 | nOfPuts: 18
size: 57700 | nOfPuts: 18
size: 57800 | nOfPuts: 18
size: 57900 | nOfPuts: 20
size: 58000 | nOfPuts: 17
size: 58100 | nOfPuts: 19
size: 58200 | nOfPuts: 19
size: 58300 | nOfPuts: 18
size: 58400 | nOfPuts: 17
size: 58500 | nOfPuts: 16
size: 58600 | nOfPuts: 18
size: 58700 | nOfPuts: 16
size: 58800 | nOfPuts: 21
size: 58900 | nOfPuts: 18
size: 59000 | nOfPuts: 19
size: 59100 | nOfPuts: 20
size: 59200 | nOfPuts: 17
size: 59300 | nOfPuts: 15
size: 59400 | nOfPuts: 20
size: 59500 | nOfPuts: 17
size: 59600 | nOfPuts: 18
size: 59700 | nOfPuts: 17
size: 59800 | nOfPuts: 18
size: 59900 | nOfPuts: 15
size: 60000 | nOfPuts: 14
size: 60100 | nOfPuts: 19
size: 60200 | nOfPuts: 18
size: 60300 | nOfPuts: 19
size: 60400 | nOfPuts: 16
size: 60500 | nOfPuts: 18
size: 60600 | nOfPuts: 17
size: 60700 | nOfPuts: 18
size: 60800 | nOfPuts: 16
size: 60900 | nOfPuts: 16
size: 61000 | nOfPuts: 16
size: 61100 | nOfPuts: 17
size: 61200 | nOfPuts: 20
size: 61300 | nOfPuts: 16
size: 61400 | nOfPuts: 17
size: 61500 | nOfPuts: 16
size: 61600 | nOfPuts: 19
size: 61700 | nOfPuts: 16
size: 61800 | nOfPuts: 16
size: 61900 | nOfPuts: 20
size: 62000 | nOfPuts: 18
size: 62100 | nOfPuts: 17
size: 62200 | nOfPuts: 18
size: 62300 | nOfPuts: 18
size: 62400 | nOfPuts: 17
size: 62500 | nOfPuts: 18
size: 62600 | nOfPuts: 18
size: 62700 | nOfPuts: 19
size: 62800 | nOfPuts: 19
size: 62900 | nOfPuts: 17
size: 63000 | nOfPuts: 19
size: 63100 | nOfPuts: 18
size: 63200 | nOfPuts: 18
size: 63300 | nOfPuts: 17
size: 63400 | nOfPuts: 21
size: 63500 | nOfPuts: 17
size: 63600 | nOfPuts: 17
size: 63700 | nOfPuts: 19
size: 63800 | nOfPuts: 17
size: 63900 | nOfPuts: 19
size: 64000 | nOfPuts: 20
size: 64100 | nOfPuts: 16
size: 64200 | nOfPuts: 17
size: 64300 | nOfPuts: 17
size: 64400 | nOfPuts: 17
size: 64500 | nOfPuts: 18
size: 64600 | nOfPuts: 19
size: 64700 | nOfPuts: 19
size: 64800 | nOfPuts: 18
size: 64900 | nOfPuts: 18
size: 65000 | nOfPuts: 17
size: 65100 | nOfPuts: 17
size: 65200 | nOfPuts: 17
size: 65300 | nOfPuts: 16
size: 65400 | nOfPuts: 18
size: 65500 | nOfPuts: 18
size: 65600 | nOfPuts: 18
size: 65700 | nOfPuts: 18
size: 65800 | nOfPuts: 15
size: 65900 | nOfPuts: 18
size: 66000 | nOfPuts: 20
size: 66100 | nOfPuts: 18
size: 66200 | nOfPuts: 20
size: 66300 | nOfPuts: 16
size: 66400 | nOfPuts: 21
size: 66500 | nOfPuts: 16
size: 66600 | nOfPuts: 19
size: 66700 | nOfPuts: 19
size: 66800 | nOfPuts: 17
size: 66900 | nOfPuts: 19
size: 67000 | nOfPuts: 16
size: 67100 | nOfPuts: 17
size: 67200 | nOfPuts: 22
size: 67300 | nOfPuts: 20
size: 67400 | nOfPuts: 16
size: 67500 | nOfPuts: 18
size: 67600 | nOfPuts: 16
size: 67700 | nOfPuts: 17
size: 67800 | nOfPuts: 19
size: 67900 | nOfPuts: 17
size: 68000 | nOfPuts: 19
size: 68100 | nOfPuts: 16
size: 68200 | nOfPuts: 17
size: 68300 | nOfPuts: 18
size: 68400 | nOfPuts: 20
size: 68500 | nOfPuts: 17
size: 68600 | nOfPuts: 18
size: 68700 | nOfPuts: 19
size: 68800 | nOfPuts: 17
size: 68900 | nOfPuts: 17
size: 69000 | nOfPuts: 18
size: 69100 | nOfPuts: 19
size: 69200 | nOfPuts: 17
size: 69300 | nOfPuts: 17
size: 69400 | nOfPuts: 16
size: 69500 | nOfPuts: 18
size: 69600 | nOfPuts: 19
size: 69700 | nOfPuts: 18
size: 69800 | nOfPuts: 19
size: 69900 | nOfPuts: 16
size: 70000 | nOfPuts: 18
size: 70100 | nOfPuts: 18
size: 70200 | nOfPuts: 17
size: 70300 | nOfPuts: 17
size: 70400 | nOfPuts: 19
size: 70500 | nOfPuts: 19
size: 70600 | nOfPuts: 17
size: 70700 | nOfPuts: 19
size: 70800 | nOfPuts: 19
size: 70900 | nOfPuts: 18
size: 71000 | nOfPuts: 19
size: 71100 | nOfPuts: 15
size: 71200 | nOfPuts: 18
size: 71300 | nOfPuts: 20
size: 71400 | nOfPuts: 18
size: 71500 | nOfPuts: 20
size: 71600 | nOfPuts: 18
size: 71700 | nOfPuts: 20
size: 71800 | nOfPuts: 17
size: 71900 | nOfPuts: 19
size: 72000 | nOfPuts: 18
size: 72100 | nOfPuts: 19
size: 72200 | nOfPuts: 18
size: 72300 | nOfPuts: 19
size: 72400 | nOfPuts: 19
size: 72500 | nOfPuts: 16
size: 72600 | nOfPuts: 19
size: 72700 | nOfPuts: 16
size: 72800 | nOfPuts: 16
size: 72900 | nOfPuts: 16
size: 73000 | nOfPuts: 18
size: 73100 | nOfPuts: 17
size: 73200 | nOfPuts: 19
size: 73300 | nOfPuts: 16
size: 73400 | nOfPuts: 18
size: 73500 | nOfPuts: 18
size: 73600 | nOfPuts: 18
size: 73700 | nOfPuts: 19
size: 73800 | nOfPuts: 17
size: 73900 | nOfPuts: 17
size: 74000 | nOfPuts: 18
size: 74100 | nOfPuts: 18
size: 74200 | nOfPuts: 18
size: 74300 | nOfPuts: 19
size: 74400 | nOfPuts: 19
size: 74500 | nOfPuts: 17
size: 74600 | nOfPuts: 19
size: 74700 | nOfPuts: 16
size: 74800 | nOfPuts: 18
size: 74900 | nOfPuts: 18
size: 75000 | nOfPuts: 18
size: 75100 | nOfPuts: 19
size: 75200 | nOfPuts: 17
size: 75300 | nOfPuts: 17
size: 75400 | nOfPuts: 18
size: 75500 | nOfPuts: 19
size: 75600 | nOfPuts: 18
size: 75700 | nOfPuts: 20
size: 75800 | nOfPuts: 17
size: 75900 | nOfPuts: 18
size: 76000 | nOfPuts: 18
size: 76100 | nOfPuts: 16
size: 76200 | nOfPuts: 15
size: 76300 | nOfPuts: 18
size: 76400 | nOfPuts: 17
size: 76500 | nOfPuts: 16
size: 76600 | nOfPuts: 22
size: 76700 | nOfPuts: 18
size: 76800 | nOfPuts: 18
size: 76900 | nOfPuts: 17
size: 77000 | nOfPuts: 16
size: 77100 | nOfPuts: 18
size: 77200 | nOfPuts: 16
size: 77300 | nOfPuts: 18
size: 77400 | nOfPuts: 20
size: 77500 | nOfPuts: 20
size: 77600 | nOfPuts: 17
size: 77700 | nOfPuts: 17
size: 77800 | nOfPuts: 17
size: 77900 | nOfPuts: 17
size: 78000 | nOfPuts: 19
size: 78100 | nOfPuts: 18
size: 78200 | nOfPuts: 18
size: 78300 | nOfPuts: 18
size: 78400 | nOfPuts: 17
size: 78500 | nOfPuts: 19
size: 78600 | nOfPuts: 17
size: 78700 | nOfPuts: 18
size: 78800 | nOfPuts: 19
size: 78900 | nOfPuts: 18
size: 79000 | nOfPuts: 18
size: 79100 | nOfPuts: 18
size: 79200 | nOfPuts: 20
size: 79300 | nOfPuts: 18
size: 79400 | nOfPuts: 20
size: 79500 | nOfPuts: 21
size: 79600 | nOfPuts: 18
size: 79700 | nOfPuts: 19
size: 79800 | nOfPuts: 18
size: 79900 | nOfPuts: 18
size: 80000 | nOfPuts: 16
size: 80100 | nOfPuts: 20
size: 80200 | nOfPuts: 16
size: 80300 | nOfPuts: 20
size: 80400 | nOfPuts: 16
size: 80500 | nOfPuts: 18
size: 80600 | nOfPuts: 18
size: 80700 | nOfPuts: 18
size: 80800 | nOfPuts: 18
size: 80900 | nOfPuts: 19
size: 81000 | nOfPuts: 17
size: 81100 | nOfPuts: 19
size: 81200 | nOfPuts: 17
size: 81300 | nOfPuts: 17
size: 81400 | nOfPuts: 20
size: 81500 | nOfPuts: 18
size: 81600 | nOfPuts: 16
size: 81700 | nOfPuts: 17
